('s26', 's27'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s21', 's22'): {'ebc': 0.23470839260312945, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s14', 's17'): {'ebc': 0.10241820768136559, 'cbr': 2.2071999999999998e-05, 'alb': 99.9977928, 'll': 20}
('s2', 's3'): {'ebc': 0.30867709815078237, 'cbr': 2.3848000000000003e-05, 'alb': 99.9976152, 'll': 20}
('s18', 's19'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s25', 's24'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s27', 's26'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s13', 's10'): {'ebc': 0.1934566145092461, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('h4', 's15'): {'ebc': 0.052631578947368425, 'cbr': 0.08939117999999999, 'alb': 9.106088199999999, 'll': 20}
('h9', 's27'): {'ebc': 0.052631578947368425, 'cbr': 0.20194446, 'alb': 7.9805554, 'll': 20}
('s22', 's23'): {'ebc': 0.1934566145092461, 'cbr': 2.2776e-05, 'alb': 99.9977224, 'll': 20}
('s8', 's14'): {'ebc': 0.30867709815078237, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s1', 's2'): {'ebc': 0.14935988620199148, 'cbr': 2.4304e-05, 'alb': 99.99756959999999, 'll': 20}
('s10', 's13'): {'ebc': 0.1934566145092461, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s17', 's14'): {'ebc': 0.10241820768136559, 'cbr': 2.2071999999999998e-05, 'alb': 99.9977928, 'll': 20}
('s16', 's14'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s7', 's8'): {'ebc': 0.39829302987197723, 'cbr': 2.274e-05, 'alb': 99.997726, 'll': 20}
('s11', 's12'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s20', 's21'): {'ebc': 0.27311522048364156, 'cbr': 2.2776e-05, 'alb': 99.9977224, 'll': 20}
('s10', 's11'): {'ebc': 0.14935988620199148, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s18', 's20'): {'ebc': 0.30867709815078237, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('h2', 's9'): {'ebc': 0.052631578947368425, 'cbr': 0.028670660000000004, 'alb': 9.7132934, 'll': 20}
('s9', 's8'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s4', 's7'): {'ebc': 0.4438122332859175, 'cbr': 2.3848000000000003e-05, 'alb': 99.9976152, 'll': 20}
('s13', 's18'): {'ebc': 0.39829302987197723, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s7', 's13'): {'ebc': 0.49075391180654343, 'cbr': 2.0736e-05, 'alb': 99.9979264, 'll': 20}
('s15', 's14'): {'ebc': 0.10241820768136559, 'cbr': 2.2071999999999998e-05, 'alb': 99.9977928, 'll': 20}
('s3', 's4'): {'ebc': 0.34139402560455195, 'cbr': 2.3488000000000003e-05, 'alb': 99.99765119999999, 'll': 20}
('s0', 's1'): {'ebc': 0.10241820768136559, 'cbr': 2.3848000000000003e-05, 'alb': 99.9976152, 'll': 20}
('s6', 's5'): {'ebc': 0.10241820768136559, 'cbr': 2.2712e-05, 'alb': 99.99772879999999, 'll': 20}
('s19', 's18'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s12', 's11'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('s4', 's5'): {'ebc': 0.14935988620199148, 'cbr': 2.3848000000000003e-05, 'alb': 99.9976152, 'll': 20}
('s5', 's6'): {'ebc': 0.10241820768136559, 'cbr': 2.2712e-05, 'alb': 99.99772879999999, 'll': 20}
('h6', 's17'): {'ebc': 0.052631578947368425, 'cbr': 0.3965691, 'alb': 6.0343089999999995, 'll': 20}
('s8', 's9'): {'ebc': 0.10241820768136559, 'cbr': 2.2431999999999998e-05, 'alb': 99.99775679999999, 'll': 20}
('h0', 's0'): {'ebc': 0.052631578947368425, 'cbr': 0.36049278, 'alb': 6.395072199999999, 'll': 20}
